N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT;D;WR
59;3;13;14763114;0;0;3.353;False;False;False;True;False;False
61;4;12;14284187;0;0;4.3;False;False;False;True;False;False
45;3;14;19248592;7;1;6.769;False;False;False;True;False;False
14;3;26;44206432;8;0;7.277;False;False;False;True;False;False
55;3;13;15797072;0;0;3.279;False;False;False;True;False;False
7;3;37;68023391;4;1;5.516;False;False;False;True;False;False
34;4;17;25270410;0;0;4.315;False;False;False;True;False;False
9;4;33;58956242;7;0;7.581;False;False;False;True;False;False
39;2;16;22100422;5;39;5.622;False;False;False;True;False;False
32;2;17;26800302;6;3;6.27;False;False;True;True;False;False
19;3;22;44210211;6;6;6.821;False;False;True;True;False;False
45;3;14;19223300;8;2;8.075;False;False;False;True;False;False
35;2;16;24578884;4;5;4.957;False;False;True;True;False;False
51;3;14;17016998;0;0;3.231;False;False;False;True;False;False
41;2;15;21070579;5;1;5.315;False;False;False;True;False;False
17;3;24;49142759;6;13;6.735;False;False;True;True;False;False
40;3;15;21592481;4;0;5.659;False;False;False;True;False;False
7;2;37;68031011;2;7;3.52;False;False;True;True;False;False
14;3;26;44207738;0;0;3.251;False;False;False;True;False;False
16;4;25;52027430;6;2;7.651;False;False;True;True;False;False
34;3;17;25273651;3;0;5.2;False;False;False;True;False;False
35;2;16;24562284;3;35;4.275;False;False;True;True;False;False
25;2;20;34023487;3;14;4.142;False;True;True;True;False;False
46;4;14;18822618;0;0;4.287;False;False;False;True;False;False
64;4;12;13613110;7;0;7.76;False;False;False;True;False;False
42;3;15;20584581;5;21;6.248;False;False;True;True;False;False
40;4;15;21564457;0;0;4.285;False;False;False;True;False;False
63;3;12;13840119;0;0;3.333;False;False;False;True;False;False
64;2;12;13627889;10;63;8.471;False;False;True;True;False;False
59;4;13;14765652;0;0;4.282;False;False;False;True;False;False
48;2;14;18053627;9;3;7.525;False;False;True;True;False;False
43;2;15;20114351;6;2;5.852;False;False;False;True;False;False
58;3;13;14998363;7;0;6.701;False;False;False;True;False;False
12;3;28;49120971;4;1;5.534;False;False;False;True;False;False
39;2;16;22106623;3;1;4.427;False;True;False;True;False;False
9;3;33;58946977;5;2;6.174;False;False;False;True;False;False
19;4;22;44201862;3;0;5.501;False;False;False;True;False;False
22;4;21;38459555;0;0;4.325;False;False;False;True;False;False
27;2;19;31588054;3;27;4.114;False;False;True;True;False;False
63;4;12;13819853;0;0;4.347;False;False;False;True;False;False
49;4;14;17700230;0;0;4.294;False;False;False;True;False;False
7;4;37;68016946;0;0;4.275;False;False;False;True;False;False
34;2;17;25271078;5;4;5.491;False;False;True;True;False;False
28;4;18;30500551;0;0;4.284;False;False;False;True;False;False
33;3;17;26011020;8;0;7.907;False;False;False;True;False;False
36;3;16;23923942;10;2;9.022;False;True;False;True;False;False
32;2;17;26789729;8;32;6.841;False;True;True;True;False;False
59;2;13;14762570;4;16;4.923;False;False;True;True;False;False
23;3;20;36855057;6;3;7.064;False;True;True;True;False;False
6;2;40;73674517;3;6;4.056;False;False;True;True;False;False
29;2;18;29486634;5;29;5.325;False;True;True;True;False;False
24;4;20;35368628;0;0;4.24;False;False;False;True;False;False
47;4;14;18418219;4;0;6.02;False;False;False;True;False;False
42;4;15;20563999;0;0;4.285;False;False;False;True;False;False
54;4;13;16079746;0;0;4.306;False;False;False;True;False;False
17;4;24;49139515;0;0;4.218;False;False;False;True;False;False
6;2;40;73687776;4;6;4.486;False;False;True;True;False;False
56;2;13;15534908;5;1;5.543;False;False;False;True;False;False
5;2;44;80383667;2;5;3.436;False;False;True;True;False;False
26;4;19;32751142;0;0;4.276;False;False;False;True;False;False
35;3;16;24566985;5;0;5.601;False;False;False;True;False;False
45;3;14;19246456;8;0;7.228;False;False;False;True;False;False
35;2;16;24584369;4;35;4.997;False;False;False;True;False;False
5;3;44;80389796;1;5;3.956;False;False;False;True;False;False
35;3;16;24584142;6;2;7.447;False;False;False;True;False;False
21;2;21;40192237;5;3;4.933;False;False;False;True;False;False
17;3;24;49119394;6;4;6.88;False;False;True;True;False;False
29;4;18;29483442;0;0;4.294;False;False;False;True;False;False
28;2;18;30489597;5;28;5.185;False;True;True;True;False;False
35;3;16;24565444;6;1;6.88;False;False;False;True;False;False
59;4;13;14753420;0;0;4.29;False;False;False;True;False;False
10;2;31;55250045;1;10;2.981;False;False;False;True;False;False
12;4;28;49118028;0;0;4.311;False;False;False;True;False;False
60;4;12;14521644;0;0;4.29;False;False;False;True;False;False
45;3;14;19237679;8;0;7.208;False;False;False;True;False;False
45;3;14;19242309;12;0;9.365;False;False;False;True;False;False
46;2;14;18836196;7;4;5.871;False;True;True;True;False;False
46;4;14;18813949;0;0;4.392;False;False;False;True;False;False
37;3;16;23274441;5;0;6.202;False;False;False;True;False;False
28;4;18;30496045;0;0;4.281;False;False;False;True;False;False
16;2;25;52025287;4;14;4.7;False;False;True;True;False;False
43;3;15;20117880;7;2;7.324;False;False;True;True;False;False
28;3;18;30508699;0;0;3.356;False;False;False;True;False;False
43;3;15;20102685;0;0;3.233;False;False;False;True;False;False
58;4;13;15009870;0;0;4.359;False;False;False;True;False;False
47;3;14;18433428;0;0;3.415;False;False;False;True;False;False
22;2;21;38443311;7;2;5.795;False;False;False;True;False;False
51;2;14;17003901;6;1;5.835;False;False;False;True;False;False
60;2;12;14516615;5;7;5.309;False;False;True;True;False;False
53;3;13;16391266;4;1;5.231;False;False;False;True;False;False
25;4;20;34028767;0;0;4.292;False;False;False;True;False;False
23;2;20;36855494;4;2;4.268;False;False;False;True;False;False
15;4;25;42102095;0;0;4.274;False;False;False;True;False;False
18;2;23;46543415;4;18;4.738;False;False;True;True;False;False
42;4;15;20559164;5;20;7.157;False;False;True;True;False;False
55;2;13;15796916;7;3;5.911;False;False;True;True;False;False
60;3;12;14502244;8;0;7.801;False;False;False;True;False;False
56;4;13;15522481;0;0;4.289;False;False;False;True;False;False
55;3;13;15814421;0;0;3.474;False;False;False;True;False;False
12;4;28;49132061;0;0;4.295;False;False;False;True;False;False
35;3;16;24570737;7;0;6.635;False;False;False;True;False;False
26;2;19;32763233;6;26;5.839;False;False;True;True;False;False
