N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
58;3;13;15006377;4;0;5.551;False;False;False;True
24;4;20;35390795;6;1;7.674;False;False;False;True
50;3;14;17344930;5;0;6.115;False;False;False;True
52;4;13;16688860;0;0;4.22;False;False;False;True
28;2;18;30484116;11;28;8.296;False;False;True;True
29;2;18;29477459;2;2;4.41;False;False;False;True
48;3;14;18053892;8;1;7.706;False;False;False;True
55;3;13;15801262;3;0;4.997;False;False;False;True
45;3;14;19242555;6;1;6.638;False;False;False;True
54;3;13;16099818;7;0;7.092;False;False;False;True
7;4;37;68005261;3;7;5.888;False;False;True;True
27;2;19;31596510;4;4;4.766;False;False;False;True
7;3;37;68028570;0;0;5.914;False;False;False;True
5;4;44;80375395;2;5;5.434;False;False;True;True
32;3;17;26803532;7;32;7.224;False;False;True;True
44;4;15;19654011;0;0;4.152;False;False;False;True
52;3;13;16680903;8;0;7.702;False;False;False;True
43;3;15;20113534;5;2;6.146;False;False;False;True
30;3;18;28518372;5;1;5.552;False;False;False;True
36;2;16;23896314;4;8;5.093;False;False;True;True
22;3;21;38445532;8;5;7.323;False;True;True;True
48;4;14;18046787;0;0;4.269;False;False;False;True
18;4;23;46530065;7;18;8.201;False;False;True;True
57;3;13;15250200;0;0;3.435;False;False;False;True
29;3;18;29475174;10;29;8.74;False;False;True;True
18;4;23;46527020;5;18;7.055;False;False;True;True
59;4;13;14740016;0;0;4.227;False;False;False;True
14;4;26;44212012;3;1;5.443;False;False;False;True
25;4;20;34032077;5;1;7.093;False;False;False;True
19;4;22;44226375;5;2;7.08;False;False;True;True
52;3;13;16691879;5;0;6.051;False;False;False;True
9;4;33;58962190;4;5;6.953;False;False;True;True
16;4;25;52028994;4;16;6.612;False;False;True;True
21;4;21;40214224;4;4;6.615;False;False;True;True
34;3;17;25264121;3;34;31.192;True;False;True;True
23;3;20;36864873;6;4;30.224;True;True;True;True
37;3;16;23287463;11;5;9.5;False;False;True;True
49;3;14;17705048;11;0;9.339;False;False;False;True
55;3;13;15799548;0;0;3.467;False;False;False;True
44;3;15;19645593;7;5;7.119;False;False;True;True
25;4;20;34004016;4;0;6.433;False;False;False;True
58;3;13;14994131;12;0;9.256;False;False;False;True
40;4;15;21578515;0;0;4.359;False;False;False;True
48;3;14;18060003;5;1;6.101;False;False;False;True
28;4;18;30505231;5;1;7.034;False;False;False;True
51;2;14;17031895;9;51;31.227;True;False;False;True
11;4;30;52004050;3;3;6.029;False;False;False;True
31;4;17;27625850;0;0;4.272;False;False;False;True
17;4;24;49135063;5;10;6.655;False;False;True;True
11;4;30;52022799;3;11;5.986;False;False;True;True
25;4;20;34029787;10;0;9.078;False;False;False;True
10;4;31;55271569;6;5;7.628;False;False;True;True
11;3;30;52029513;4;11;5.431;False;False;True;True
64;3;12;13612348;0;0;3.464;False;False;False;True
18;4;23;46534305;3;3;30.242;True;True;False;True
32;2;17;26789233;9;4;7.413;False;False;False;True
26;2;19;32751796;2;2;4.93;False;False;False;True
41;3;15;21047787;5;3;6.221;False;False;True;True
47;2;14;18433382;11;3;8.526;False;False;False;True
53;4;13;16373715;0;0;4.22;False;False;False;True
18;3;23;46549543;2;2;6.533;False;False;False;True
6;2;40;73695593;1;6;3.023;False;False;True;True
62;2;12;14038333;13;1;8.982;False;False;False;True
49;4;14;17683817;0;0;4.212;False;False;False;True
61;4;12;14270286;0;0;4.224;False;False;False;True
60;2;12;14504664;4;60;4.653;False;False;True;True
8;3;35;63144950;3;8;5.106;False;False;True;True
13;4;27;46527796;4;3;6.51;False;False;True;True
11;2;30;52019525;2;11;3.479;False;False;True;True
34;2;17;25279080;6;34;5.92;False;False;True;True
55;2;13;15805890;10;55;31.231;True;False;False;True
57;3;13;15258583;0;0;3.408;False;False;False;True
24;3;20;35364890;0;0;5.186;False;False;False;True
6;4;40;73678654;3;6;5.933;False;False;True;True
16;3;25;52028182;5;16;6.174;False;False;True;True
33;2;17;26016746;6;33;31.199;True;False;False;True
49;4;14;17700882;0;0;4.21;False;False;False;True
42;4;15;20586263;0;0;4.324;False;False;False;True
42;2;15;20564175;5;42;31.207;True;False;False;True
27;4;19;31573416;9;1;9.201;False;False;False;True
64;4;12;13600668;0;0;4.228;False;False;False;True
54;4;13;16100584;0;0;4.216;False;False;False;True
15;4;25;42097980;0;0;4.958;False;False;False;True
17;2;24;49115046;1;17;3.412;False;False;True;True
52;2;13;16704387;8;25;6.827;False;False;True;True
51;4;14;17001923;0;0;4.296;False;False;False;True
22;2;21;38463679;3;22;3.922;False;False;True;True
50;3;14;17355802;6;0;6.602;False;False;False;True
23;4;20;36849818;7;2;7.659;False;False;False;True
28;3;18;30505482;1;1;4.466;False;False;False;True
9;4;33;58959066;2;9;5.461;False;False;True;True
8;3;35;63144050;5;8;6.1;False;False;True;True
45;4;14;19249509;0;0;4.177;False;False;False;True
27;4;19;31594926;4;1;6.492;False;False;False;True
22;4;21;38440562;4;1;6.535;False;False;False;True
28;3;18;30488852;5;10;5.483;False;False;True;True
58;2;13;15005738;8;58;31.24;True;False;False;True
33;3;17;26000444;1;33;31.207;True;False;False;True
34;2;17;25283661;3;34;31.21;True;False;True;True
56;2;13;15530868;6;2;5.764;False;False;False;True
48;2;14;18048793;8;48;6.818;False;True;True;True
63;2;12;13815754;5;63;4.639;False;True;True;True
22;3;21;38442265;4;7;30.233;True;True;True;True
54;3;13;16099360;3;0;4.985;False;False;False;True
51;2;14;17009697;7;51;6.355;False;True;True;True
32;4;17;26802935;0;0;4.325;False;False;False;True
36;2;16;23895205;9;36;31.206;True;False;False;True
6;4;40;73676196;3;6;5.971;False;False;True;True
11;2;30;52030744;5;11;5.083;False;False;True;True
5;4;44;80389674;3;5;5.986;False;False;True;True
38;2;16;22677443;4;6;4.79;False;False;True;True
17;3;24;49128555;5;17;6.122;False;False;True;True
55;4;13;15815652;0;0;4.219;False;False;False;True
26;4;19;32754746;2;0;5.44;False;False;False;True
58;2;13;14991239;3;1;31.237;True;True;False;True
61;2;12;14289989;3;1;4.209;False;False;False;True
44;3;15;19666117;9;44;8.162;False;False;True;True
55;3;13;15800821;11;0;8.829;False;False;False;True
4;3;50;88413560;2;4;4.435;False;False;True;True
14;4;26;44220769;2;0;5.363;False;False;False;True
21;4;21;40187846;4;1;6.516;False;False;False;True
29;4;18;29492909;0;0;4.229;False;False;False;True
25;3;20;34025801;9;25;8.226;False;False;True;True
31;4;17;27637955;0;0;4.166;False;False;False;True
45;4;14;19246268;0;0;4.249;False;False;False;True
13;4;27;46554148;3;13;5.883;False;False;True;True
32;2;17;26808717;6;4;5.88;False;False;True;True
9;2;33;58938903;2;9;3.873;False;False;True;True
33;2;17;26010767;4;33;31.195;True;False;False;True
29;2;18;29489256;4;4;4.675;False;False;False;True
53;3;13;16374016;7;0;7.22;False;False;False;True
51;2;14;17019873;5;28;5.312;False;False;True;True
17;3;24;49139447;6;17;30.289;True;False;True;True
59;2;13;14734167;15;59;10.037;False;True;True;True
24;4;20;35382493;6;1;7.065;False;False;False;True
55;2;13;15814395;8;2;6.816;False;False;False;True
40;4;15;21570683;3;0;5.936;False;False;False;True
59;3;13;14738127;0;0;3.471;False;False;False;True
48;4;14;18054007;0;0;4.218;False;False;False;True
64;2;12;13601523;10;1;7.698;False;False;False;True
