N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
43;4;15;250000;3;5;7.796;False;False;True;True
26;3;19;250000;3;3;6.509;False;False;False;True
14;2;26;250000;4;3;6.577;False;False;True;True
43;2;15;250000;6;8;8.75;False;False;True;True
52;4;13;250000;10;5;13.819;False;False;True;True
24;4;20;250000;4;3;8.473;False;False;True;True
54;3;13;250000;6;5;9.848;False;False;True;True
17;4;24;250000;3;3;7.429;False;False;True;True
19;2;22;250000;3;5;5.878;False;False;True;True
38;2;16;250000;7;7;8.746;False;False;True;True
37;3;16;250000;5;4;8.649;False;False;False;True
28;2;18;250000;6;6;8.697;False;False;True;True
50;2;14;250000;5;50;7.547;False;False;True;True
60;2;12;250000;5;8;7.912;False;False;True;True
34;3;17;250000;4;5;8.488;False;False;True;True
51;4;14;250000;7;6;11.719;False;False;True;True
25;4;20;250000;4;3;8.491;False;False;True;True
52;4;13;250000;3;3;7.795;False;False;False;True
29;2;18;250000;8;6;10.829;False;False;True;True
5;3;44;250000;0;0;3.138;False;False;False;True
7;3;37;250000;0;0;3.188;False;False;False;True
51;2;14;250000;8;51;10.701;False;False;True;True
20;2;22;250000;2;3;6.096;False;False;True;True
44;3;15;250000;7;6;9.784;False;False;True;True
63;4;12;250000;9;6;13.865;False;False;True;True
16;4;25;250000;3;2;7.475;False;False;False;True
38;3;16;250000;3;3;7.625;False;False;False;True
44;2;15;250000;6;6;8.766;False;False;True;True
30;2;18;250000;3;3;6.179;False;False;False;True
44;4;15;250000;4;4;8.622;False;False;False;True
56;3;13;250000;12;7;14.942;False;False;True;True
47;4;14;250000;7;5;11.75;False;False;True;True
55;2;13;250000;10;7;12.957;False;False;True;True
35;3;16;250000;4;6;7.61;False;False;True;True
27;2;19;250000;7;6;9.732;False;False;True;True
61;4;12;250000;9;6;13.845;False;False;True;True
14;4;26;250000;5;1;9.443;False;False;False;True
5;2;44;250000;3;1;5.371;False;False;False;True
9;4;33;250000;3;1;7.365;False;False;False;True
12;2;28;250000;2;3;4.453;False;False;True;True
39;2;16;250000;8;7;10.802;False;False;True;True
32;2;17;250000;11;6;13.91;False;False;True;True
42;2;15;250000;10;8;12.936;False;False;True;True
37;4;16;250000;6;5;9.641;False;False;True;True
58;2;13;250000;8;6;10.933;False;False;True;True
60;3;12;250000;7;7;10.77;False;False;True;True
26;3;19;250000;3;4;6.518;False;False;True;True
27;4;19;250000;2;3;6.414;False;False;True;True
24;2;20;250000;3;4;6.11;False;False;True;True
23;4;20;250000;3;3;7.441;False;False;True;True
6;4;40;250000;0;0;4.245;False;False;False;True
30;3;18;250000;4;3;7.564;False;False;False;True
21;3;21;250000;4;4;7.561;False;False;True;True
10;4;31;250000;4;0;7.448;False;False;False;True
18;2;23;250000;2;2;5.973;False;False;False;True
20;3;22;250000;5;4;8.575;False;False;True;True
52;3;13;250000;11;7;13.954;False;False;True;True
46;2;14;250000;3;46;5.446;False;False;True;True
59;4;13;250000;3;4;8.114;False;False;True;True
33;2;17;250000;5;8;7.829;False;False;True;True
58;3;13;250000;8;8;11.844;False;False;True;True
7;4;37;250000;0;0;4.192;False;False;False;True
42;2;15;250000;5;8;7.755;False;False;True;True
27;2;19;250000;7;6;9.715;False;False;True;True
60;2;12;250000;7;60;9.904;False;False;True;True
7;3;37;250000;0;0;3.198;False;False;False;True
41;4;15;250000;6;5;10.724;False;False;True;True
58;3;13;250000;5;6;8.756;False;False;True;True
62;2;12;250000;6;62;8.646;False;False;True;True
8;4;35;250000;2;2;6.335;False;False;True;True
50;4;14;250000;7;5;11.773;False;False;True;True
33;4;17;250000;8;5;11.69;False;False;True;True
31;4;17;250000;8;2;12.607;False;False;False;True
34;2;17;250000;3;4;7.771;False;False;True;True
19;2;22;250000;5;5;7.624;False;False;True;True
41;4;15;250000;3;4;7.66;False;False;True;True
37;3;16;250000;10;6;13.911;False;False;True;True
42;4;15;250000;6;6;10.696;False;False;True;True
54;3;13;250000;7;5;10.74;False;False;True;True
18;4;23;250000;5;3;9.515;False;False;True;True
38;3;16;250000;5;8;8.718;False;False;True;False
33;4;17;250000;4;5;8.532;False;False;True;True
57;4;13;250000;7;5;10.776;False;False;True;True
50;2;14;250000;6;50;8.707;False;False;True;True
55;4;13;250000;7;5;11.732;False;False;True;True
61;2;12;250000;7;8;8.902;False;False;True;True
22;3;21;250000;4;4;7.563;False;False;True;True
54;2;13;250000;6;5;8.814;False;False;False;True
35;2;16;250000;8;7;10.86;False;False;True;True
49;4;14;250000;5;4;9.668;False;False;False;True
15;3;25;250000;5;1;8.514;False;False;False;True
60;4;12;250000;11;6;15.9;False;False;True;True
40;3;15;250000;5;7;8.691;False;False;True;True
60;2;12;250000;10;8;11.971;False;False;True;True
40;2;15;250000;7;7;9.918;False;False;True;True
62;2;12;250000;5;5;7.917;False;False;False;True
64;4;12;250000;9;5;12.855;False;False;True;True
60;2;12;250000;7;5;9.937;False;False;False;True
37;4;16;250000;5;5;9.56;False;False;True;True
64;3;12;250000;8;8;11.92;False;False;True;True
9;3;33;250000;3;1;5.405;False;False;False;True
60;4;12;250000;2;2;8.013;False;False;False;True
33;3;17;250000;5;5;8.681;False;False;True;True
16;4;25;250000;4;3;8.483;False;False;True;True
37;3;16;250000;6;6;9.758;False;False;True;True
49;2;14;250000;4;6;7.58;False;False;True;True
13;4;27;250000;4;0;8.428;False;False;False;True
6;3;40;250000;0;0;3.16;False;False;False;True
60;4;12;250000;10;5;14.882;False;False;True;True
45;4;14;250000;8;5;11.748;False;False;True;True
57;3;13;250000;5;5;8.771;False;False;True;True
35;3;16;250000;6;5;9.679;False;False;True;True
15;3;25;250000;7;2;10.574;False;False;False;True
24;3;20;250000;8;4;11.717;False;False;True;True
9;2;33;250000;3;3;5.444;False;False;True;True
12;4;28;250000;3;1;7.391;False;False;False;True
34;3;17;250000;8;6;11.745;False;False;True;True
51;2;14;250000;6;51;8.558;False;False;True;True
49;4;14;250000;7;6;11.748;False;False;True;True
63;3;12;250000;9;8;12.936;False;False;True;True
47;2;14;250000;10;9;13.51;False;False;True;True
63;2;12;250000;2;2;8.016;False;False;False;True
27;2;19;250000;3;4;6.248;False;False;True;True
35;4;16;250000;6;5;10.603;False;False;True;True
60;4;12;250000;3;3;7.778;False;False;False;True
32;2;17;250000;4;6;7.495;False;False;True;True
37;4;16;250000;6;6;10.67;False;False;True;True
45;2;14;250000;11;45;13.755;False;False;True;True
64;3;12;250000;6;8;9.873;False;False;True;True
60;4;12;250000;9;6;13.839;False;False;True;True
63;2;12;250000;10;63;12.826;False;False;True;True
45;2;14;250000;7;7;9.86;False;False;True;True
28;4;18;250000;3;3;7.466;False;False;True;True
27;2;19;250000;3;3;6.211;False;False;False;True
46;2;14;250000;3;4;7.817;False;False;True;True
41;3;15;250000;6;7;8.741;False;False;True;True
34;3;17;250000;5;5;8.702;False;False;True;True
30;2;18;250000;6;6;8.717;False;False;True;True
46;3;14;250000;7;7;10.814;False;False;True;True
33;2;17;250000;5;6;7.695;False;False;True;True
9;2;33;250000;3;3;5.528;False;False;True;True
23;4;20;250000;8;3;12.613;False;False;True;True
7;3;37;250000;0;0;3.211;False;False;False;True
46;3;14;250000;3;4;7.727;False;False;True;True
28;2;18;250000;2;2;6.15;False;False;False;True
12;4;28;250000;3;1;7.376;False;False;False;True
29;3;18;250000;4;4;7.546;False;False;True;True
40;3;15;250000;5;6;8.651;False;False;True;True
30;3;18;250000;6;4;9.623;False;False;True;True
49;3;14;250000;6;8;9.764;False;False;True;True
38;4;16;250000;4;4;8.568;False;False;True;True
13;4;27;250000;1;1;5.355;False;False;False;True
52;4;13;250000;6;6;10.678;False;False;True;True
17;2;24;250000;5;6;7.631;False;False;True;True
56;3;13;250000;7;7;10.804;False;False;True;True
26;3;19;250000;6;3;9.613;False;False;False;True
37;2;16;250000;8;7;9.86;False;False;True;True
47;4;14;250000;11;5;15.906;False;False;True;True
29;3;18;250000;4;3;7.556;False;False;False;True
55;3;13;250000;8;6;10.77;False;False;True;True
10;2;31;250000;3;3;5.51;False;False;True;True
60;4;12;250000;5;4;9.685;False;False;False;True
46;4;14;250000;5;5;9.665;False;False;True;True
4;4;50;250000;0;0;4.233;False;False;False;True
17;2;24;250000;1;1;5.968;False;False;False;True
16;3;25;250000;7;4;10.656;False;False;True;True
40;4;15;250000;1;1;7.835;False;False;False;True
32;3;17;250000;5;5;8.642;False;False;True;True
12;3;28;250000;4;2;7.461;False;False;False;True
55;4;13;250000;8;5;11.786;False;False;True;True
50;4;14;250000;2;2;7.765;False;False;False;True
56;4;13;250000;11;5;14.827;False;False;True;True
44;4;15;250000;10;5;14.908;False;False;True;True
8;3;35;250000;5;1;8.52;False;False;False;True
50;2;14;250000;7;50;9.607;False;False;True;True
18;2;23;250000;6;4;7.634;False;False;True;True
18;4;23;250000;5;3;9.534;False;False;True;True
31;3;17;250000;7;3;10.652;False;False;False;True
22;2;21;250000;4;6;6.618;False;False;True;True
50;4;14;250000;2;2;7.637;False;False;False;True
29;2;18;250000;2;2;6.043;False;False;False;True
27;3;19;250000;7;4;10.66;False;False;True;True
29;3;18;250000;6;29;9.732;False;False;True;True
16;2;25;250000;2;2;6.004;False;False;False;True
9;4;33;250000;3;1;7.365;False;False;False;True
61;3;12;250000;9;7;11.856;False;False;True;True
46;2;14;250000;3;4;7.684;False;False;True;True
6;3;40;250000;0;0;3.194;False;False;False;True
25;4;20;250000;6;3;10.547;False;False;True;True
43;2;15;250000;9;8;12.0;False;False;True;True
24;2;20;250000;2;2;6.226;False;False;False;True
59;3;13;250000;4;7;8.095;False;False;True;True
57;2;13;250000;11;7;12.964;False;False;True;True
16;3;25;250000;2;2;5.953;False;False;False;True
43;2;15;250000;4;4;7.86;False;False;False;True
61;2;12;250000;7;6;8.946;False;False;True;True
49;2;14;250000;9;49;11.739;False;False;True;True
58;4;13;250000;14;6;18.99;False;False;True;True
62;3;12;250000;4;6;8.116;False;False;True;True
46;3;14;250000;6;7;8.689;False;False;True;True
33;4;17;250000;8;4;12.649;False;False;True;True
25;3;20;250000;2;2;6.129;False;False;False;True
20;4;22;250000;7;3;11.563;False;False;True;True
44;4;15;250000;6;5;9.644;False;False;True;True
33;4;17;250000;4;5;8.705;False;False;True;True
25;4;20;250000;3;3;7.446;False;False;True;True
59;3;13;250000;10;7;12.826;False;False;True;True
63;2;12;250000;5;5;7.956;False;False;False;True
53;2;13;250000;4;4;7.886;False;False;False;True
22;4;21;250000;3;3;7.462;False;False;True;True
56;3;13;250000;7;7;9.756;False;False;True;True
56;4;13;250000;7;6;11.756;False;False;True;True
14;4;26;250000;4;1;8.419;False;False;False;True
16;3;25;250000;3;3;6.523;False;False;False;True
19;2;22;250000;4;5;6.653;False;False;True;True
37;4;16;250000;5;5;9.583;False;False;True;True
25;3;20;250000;5;4;8.587;False;False;True;True
6;4;40;250000;0;0;4.209;False;False;False;True
58;3;13;250000;12;7;16.021;False;False;True;True
41;2;15;250000;4;6;7.678;False;False;True;True
60;3;12;250000;7;7;10.827;False;False;True;True
23;3;20;250000;7;5;10.677;False;False;True;True
20;2;22;250000;3;5;6.005;False;False;True;True
41;4;15;250000;6;5;10.607;False;False;True;True
22;4;21;250000;8;3;12.613;False;False;True;True
26;4;19;250000;7;3;11.606;False;False;True;True
60;2;12;250000;7;60;9.713;False;False;True;True
47;4;14;250000;5;5;9.62;False;False;True;True
56;3;13;250000;8;5;9.799;False;False;True;True
61;3;12;250000;9;8;12.89;False;False;True;True
44;3;15;250000;8;44;11.639;False;False;True;True
61;4;12;250000;8;5;12.807;False;False;True;True
51;2;14;250000;9;7;11.868;False;False;True;True
11;4;30;250000;3;1;7.37;False;False;False;True
8;2;35;250000;1;1;4.117;False;False;False;True
36;3;16;250000;1;1;7.516;False;False;False;True
50;4;14;250000;6;5;9.608;False;False;True;True
8;3;35;250000;5;2;8.507;False;False;False;True
4;4;50;250000;0;0;4.201;False;False;False;True
41;3;15;250000;5;5;8.76;False;False;True;True
32;2;17;250000;2;3;7.496;False;False;True;True
11;2;30;250000;1;1;4.612;False;False;False;True
45;4;14;250000;10;5;14.81;False;False;True;True
62;3;12;250000;8;6;10.857;False;False;True;True
51;2;14;250000;6;8;8.834;False;False;True;True
26;3;19;250000;6;3;9.622;False;False;False;True
53;3;13;250000;7;4;9.792;False;False;False;True
48;2;14;250000;7;6;9.936;False;False;True;True
42;4;15;250000;8;5;12.823;False;False;True;True
27;2;19;250000;3;4;6.236;False;False;True;True
59;2;13;250000;5;6;8.082;False;False;True;True
42;3;15;250000;4;4;7.674;False;False;False;True
36;3;16;250000;6;6;9.69;False;False;True;True
11;4;30;250000;6;0;9.453;False;False;False;True
15;2;25;250000;4;3;6.503;False;False;True;True
22;3;21;250000;2;2;5.992;False;False;False;True
20;3;22;250000;1;1;5.902;False;False;False;True
63;4;12;250000;6;5;10.757;False;False;True;True
7;3;37;250000;0;0;3.218;False;False;False;True
57;2;13;250000;6;6;8.833;False;False;True;True
46;3;14;250000;5;5;7.729;False;False;True;True
25;4;20;250000;6;3;10.556;False;False;True;True
23;4;20;250000;2;2;6.409;False;False;False;True
39;2;16;250000;0;0;7.841;False;False;False;True
31;4;17;250000;4;3;8.474;False;False;True;True
33;4;17;250000;6;7;31.209;True;False;True;True
29;4;18;250000;3;3;7.473;False;False;True;True
17;2;24;250000;3;5;6.058;False;False;True;True
23;2;20;250000;4;4;6.6;False;False;False;True
13;3;27;250000;5;1;7.504;False;False;False;True
6;4;40;250000;0;0;4.202;False;False;False;True
49;2;14;250000;4;5;7.652;False;False;True;True
62;3;12;250000;3;3;8.009;False;False;False;True
15;4;25;250000;3;1;7.395;False;False;False;True
44;2;15;250000;10;8;12.898;False;False;True;True
19;4;22;250000;2;3;6.403;False;False;True;True
39;2;16;250000;4;6;7.646;False;False;True;True
34;2;17;250000;4;34;7.142;False;False;True;True
40;3;15;250000;6;6;9.788;False;False;True;True
56;3;13;250000;6;7;8.752;False;False;True;True
47;2;14;250000;7;7;9.872;False;False;True;True
16;3;25;250000;4;3;7.544;False;False;False;True
55;3;13;250000;10;7;12.92;False;False;True;True
23;3;20;250000;5;4;8.585;False;False;True;True
5;3;44;250000;0;0;3.199;False;False;False;True
40;4;15;250000;4;4;8.675;False;False;True;True
60;3;12;250000;4;4;7.984;False;False;False;True
