N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
29;2;18;29474568;6;29;3.065;False;False;True;True
6;2;40;73668670;2;6;3.919;False;False;True;True
58;2;13;15003583;8;58;3.306;False;False;True;True
5;2;44;80373724;3;5;2.844;False;False;True;True
8;5;35;63160756;2;8;5.738;False;False;True;True
4;4;50;88430770;1;4;4.681;False;False;True;True
7;5;37;68027922;1;1;5.866;False;False;False;True
27;3;19;31579059;3;27;3.909;False;False;True;True
33;3;17;26016835;6;33;31.242;True;False;False;True
44;5;15;19668249;10;4;6.059;False;False;True;True
4;2;50;88406741;2;4;3.562;False;False;True;True
12;5;28;49140025;2;1;5.629;False;False;False;True
48;2;14;18067637;5;48;3.486;False;False;True;True
38;5;16;22690867;8;4;6.195;False;False;True;True
51;2;14;17014656;5;51;3.131;False;False;True;True
45;5;14;19239310;10;1;6.179;False;False;False;True
48;5;14;18056316;8;48;5.897;False;False;True;True
12;3;28;49138032;2;12;30.357;True;False;False;True
52;2;13;16700950;9;52;31.237;True;False;False;True
35;3;16;24580407;3;35;31.25;True;False;False;True
51;3;14;17020796;3;51;4.085;False;False;True;True
41;3;15;21048599;8;41;4.39;False;False;True;True
19;5;22;44205291;6;19;6.205;False;False;True;True
54;3;13;16075150;4;54;4.089;False;False;True;True
42;2;15;20562060;10;42;3.268;False;False;True;True
48;3;14;18051152;11;48;4.555;False;False;True;True
34;3;17;25282298;5;34;31.202;True;False;True;True
22;4;21;38462572;3;3;6.249;False;False;False;True
27;3;19;31591569;3;27;3.915;False;False;True;True
18;5;23;46556698;5;5;30.295;True;True;False;True
47;2;14;18439217;10;47;3.231;False;False;True;True
54;3;13;16074782;8;54;4.2;False;False;True;True
49;2;14;17701105;7;49;3.247;False;False;True;True
48;2;14;18059725;3;48;31.259;True;True;True;True
8;4;35;63158319;4;8;5.067;False;False;True;True
52;4;13;16705913;9;52;5.325;False;False;True;True
47;2;14;18423533;7;47;3.663;False;False;True;True
48;2;14;18052704;5;48;2.785;False;False;True;True
5;2;44;80375130;2;5;4.201;False;False;True;True
21;4;21;40182103;3;21;30.388;True;False;False;True
58;4;13;15013371;7;58;5.231;False;False;True;True
59;4;13;14740577;8;59;5.115;False;False;True;True
51;2;14;17004626;3;51;31.26;True;False;False;True
55;3;13;15805451;10;55;4.395;False;False;True;True
5;3;44;80382725;2;5;4.435;False;False;True;True
56;3;13;15519389;13;56;4.378;False;True;True;True
38;4;16;22669621;1;38;31.225;True;False;False;True
5;5;44;80373330;0;0;7.67;False;False;False;True
23;2;20;36846531;7;23;2.838;False;False;True;True
