N;DELAY;BUF_SIZE;TIMEOUT;TIME;DEADLOCK;DEADLOCK DETECTION;SEGFAULT;ABORT;RIGHT RESULT;KILLED
14;2;78435456;30;3.11;False;False;False;True;True;14
9;3;57213568;30;3.25;False;False;False;False;True;0
18;2;78438912;30;3.47;False;False;False;True;True;18
17;2;60977792;30;4.04;False;False;False;False;True;1
27;3;57027840;30;3.99;False;False;False;False;True;0
5;3;53967744;30;3.08;False;False;False;False;True;0
5;2;71321728;30;3.07;False;False;False;True;True;5
26;3;74362624;30;4.57;False;False;False;False;True;1
31;2;79145600;30;3.71;False;False;False;True;True;31
27;3;68311936;30;4.53;False;False;False;False;True;0
16;3;68288000;30;3.17;False;False;False;False;True;0
13;3;57788032;30;3.54;False;False;False;False;True;0
23;3;55228416;30;3.56;False;False;False;False;True;0
32;2;66650752;30;3.9;False;False;False;True;True;32
29;2;67862656;30;3.43;False;False;False;True;True;29
30;2;61485440;30;3.24;False;False;False;True;True;30
31;3;69607040;30;4.71;False;False;False;False;True;1
30;3;54191872;30;4.13;False;False;False;False;True;0
31;2;68767104;30;3.28;False;False;False;True;True;31
6;3;53655552;30;2.99;False;False;False;False;True;0
6;2;76252416;30;3.08;False;False;False;True;True;6
14;2;59888640;30;3.46;False;False;False;True;True;2
19;2;59692160;30;4.3;False;False;False;False;True;1
21;3;56947968;30;3.87;False;False;False;False;True;0
20;2;54287232;30;4.02;False;False;False;False;True;1
13;2;66314752;30;4.16;False;False;False;False;True;1
29;2;62956928;30;4.18;False;False;False;False;True;1
10;3;55701632;30;3.05;False;False;False;False;True;0
24;3;75441024;30;4.62;False;False;False;False;True;1
21;2;57842816;30;3.62;False;False;False;False;True;1
29;3;68073600;30;4.49;False;False;False;False;True;1
25;2;71059584;30;3.25;False;False;False;True;True;25
18;2;68790912;30;4.99;False;False;False;False;True;1
30;3;64640640;30;4.38;False;False;False;False;True;1
4;3;75966464;30;3.01;False;False;False;False;True;0
13;2;72328704;30;3.16;False;False;False;True;True;13
7;3;70621184;30;3.63;False;False;False;False;True;0
29;3;79215872;30;4.42;False;False;False;True;True;29
17;2;58886656;30;3.52;False;False;False;False;True;1
17;3;51134336;30;3.31;False;False;False;False;True;0
24;3;74899968;30;4.74;False;False;False;False;True;1
16;3;60471296;30;3.1;False;False;False;False;True;0
8;2;72950656;30;3.37;False;False;False;False;True;1
11;3;72483584;30;3.99;False;False;False;False;True;0
27;3;58218112;30;4.49;False;False;False;False;True;1
28;2;52222208;30;3.72;False;False;False;True;True;2
18;2;75553024;30;3.48;False;False;False;True;True;18
16;2;72192768;30;3.34;False;False;False;False;True;1
8;3;59004544;30;2.8;False;False;False;False;True;0
17;2;68783744;30;4.25;False;False;False;False;True;1
4;3;76872064;30;2.92;False;False;False;False;True;0
22;2;60312960;30;4.15;False;False;False;False;True;1
13;3;51172352;30;3.24;False;False;False;False;True;0
32;3;62135936;30;3.58;False;False;False;False;True;0
24;2;56827520;30;3.94;False;False;False;False;True;1
12;3;51688320;30;3.18;False;False;False;False;True;0
30;3;77464320;30;5.85;False;False;False;False;True;1
7;3;60374912;30;3.31;False;False;False;False;True;0
10;2;67366912;30;4.33;False;False;False;False;True;1
8;2;50206080;30;2.25;False;False;False;False;True;0
27;2;50481280;30;3.87;False;False;False;False;True;1
16;2;57605632;30;2.95;False;False;False;False;True;0
4;3;63194112;30;2.73;False;False;False;False;True;0
16;2;76900736;30;3.41;False;False;False;True;True;16
13;3;75351552;30;4.11;False;False;False;False;True;1
14;3;70139648;30;4.18;False;False;False;False;True;1
20;2;53536512;30;3.69;False;False;False;True;True;2
30;2;60684672;30;5.34;False;False;False;False;True;1
9;2;70889216;30;3.95;False;False;False;False;True;1
30;2;66433920;30;3.24;False;False;False;True;True;30
13;2;66027648;30;3.11;False;False;False;True;True;13
22;3;55208320;30;3.77;False;False;False;False;True;0
10;3;59969664;30;3.41;False;False;False;False;True;0
5;3;52925184;30;3.48;False;False;False;False;True;0
21;2;60446336;30;4.48;False;False;False;False;True;1
14;2;76215552;30;3.22;False;False;False;True;True;14
18;3;76619392;30;4.61;False;False;False;False;True;1
25;3;63593344;30;4.27;False;False;False;False;True;0
19;3;68382208;30;4.51;False;False;False;True;True;2
11;2;75436160;30;3.3;False;False;False;True;True;11
15;2;51380992;30;3.18;False;False;False;False;True;0
23;2;79226624;30;3.41;False;False;False;True;True;23
