N;DELAY;BUF_SIZE;TIMEOUT;TIME;DEADLOCK;DEADLOCK DETECTION;SEGFAULT;ABORT;RIGHT RESULT;KILLED;WHERE
32;4;52230528;30;6.07;False;False;False;False;True;1;UNKNOWN
12;4;75967616;30;5.69;False;False;False;True;True;2;UNKNOWN
7;4;75149056;30;4.8;False;False;False;False;True;0;UNKNOWN
18;3;70845056;30;6.92;False;False;False;False;True;1;REDUCE-SCATTER
7;4;75868800;30;4.62;False;False;False;False;True;0;UNKNOWN
26;3;65662976;30;5.36;False;False;False;True;True;26;REDUCE-SCATTER
15;2;66016896;30;3.77;False;False;False;True;True;15;REDUCE-SCATTER
22;3;50233472;30;6.16;False;False;False;False;True;1;REDUCE-SCATTER
9;3;76627840;30;4.83;False;False;False;False;True;1;ALLGATHER
25;4;53703296;30;6.63;False;False;False;False;True;1;ALLGATHER
26;2;74914304;30;3.75;False;False;False;True;True;26;UNKNOWN
20;4;63275136;30;6.58;False;False;False;False;True;1;ALLGATHER
18;3;51658496;30;4.75;False;False;False;False;True;1;UNKNOWN
10;3;55018752;30;3.97;False;False;False;False;True;0;UNKNOWN
10;3;79181312;30;5.8;False;False;False;False;True;1;ALLGATHER
19;2;79889024;30;4.79;False;False;False;True;True;19;REDUCE-SCATTER
7;4;65765504;30;4.25;False;False;False;False;True;0;UNKNOWN
29;3;68178432;30;5.73;False;False;False;True;True;29;REDUCE-SCATTER
11;3;59117696;30;4.17;False;False;False;False;True;0;UNKNOWN
10;2;74908288;30;3.81;False;False;False;True;True;10;REDUCE-SCATTER
20;4;51638272;30;5.66;False;False;False;False;True;0;UNKNOWN
4;4;75867520;30;3.71;False;False;False;False;True;0;UNKNOWN
4;2;78288768;30;3.22;False;False;False;True;True;4;ALLGATHER
12;2;77841920;30;3.82;False;False;False;True;True;12;REDUCE-SCATTER
11;3;74777216;30;5.19;False;False;False;False;True;1;UNKNOWN
16;4;67135744;30;4.96;False;False;False;False;True;0;UNKNOWN
30;3;79044224;30;4.89;False;False;False;True;True;30;UNKNOWN
24;2;50494336;30;4.03;False;False;False;True;True;24;REDUCE-SCATTER
18;4;64772992;30;5.79;False;False;False;False;True;1;UNKNOWN
17;4;67078528;30;6.03;False;False;False;False;True;1;UNKNOWN
25;2;66679424;30;3.58;False;False;False;True;True;25;UNKNOWN
25;3;61058816;30;4.9;False;False;False;True;True;25;REDUCE-SCATTER
22;3;61886976;30;6.9;False;False;False;False;True;1;REDUCE-SCATTER
14;3;61627264;30;4.95;False;False;False;True;True;2;UNKNOWN
13;4;54652928;30;4.4;False;False;False;False;True;0;UNKNOWN
10;2;73442816;30;3.68;False;False;False;True;True;10;REDUCE-SCATTER
9;4;57198208;30;4.1;False;False;False;False;True;0;UNKNOWN
29;2;65383040;30;3.93;False;False;False;True;True;29;UNKNOWN
13;4;62164608;30;4.73;False;False;False;False;True;0;UNKNOWN
10;4;79893888;30;5.46;False;False;False;False;True;1;UNKNOWN
19;3;65008896;30;7.24;False;False;False;False;True;1;REDUCE-SCATTER
23;4;51973120;30;5.8;False;False;False;False;True;1;UNKNOWN
14;4;57268480;30;4.64;False;False;False;False;True;0;UNKNOWN
27;3;63974528;30;5.27;False;False;False;True;True;27;REDUCE-SCATTER
21;4;51242752;30;5.36;False;False;False;False;True;0;UNKNOWN
24;3;50184576;30;5.95;False;False;False;False;True;1;ALLGATHER
27;2;65127936;30;3.59;False;False;False;True;True;27;UNKNOWN
31;2;79746176;30;5.0;False;False;False;True;True;31;UNKNOWN
20;3;65088640;30;6.17;False;False;False;False;True;1;ALLGATHER
15;3;61274496;30;5.09;False;False;False;False;True;1;ALLGATHER
21;2;74824960;30;4.82;False;False;False;True;True;21;REDUCE-SCATTER
25;4;66219520;30;8.1;False;False;False;False;True;1;REDUCE-SCATTER
29;3;54925824;30;5.43;False;False;False;True;True;29;REDUCE-SCATTER
31;2;58577920;30;3.8;False;False;False;True;True;31;UNKNOWN
22;3;54203776;30;5.69;False;False;False;False;True;1;ALLGATHER
18;4;58613760;30;5.22;False;False;False;False;True;0;UNKNOWN
15;4;50203648;30;4.09;False;False;False;False;True;0;UNKNOWN
16;2;72248832;30;3.76;False;False;False;True;True;16;REDUCE-SCATTER
11;3;53809280;30;3.91;False;False;False;False;True;0;UNKNOWN
15;3;64882560;30;5.25;False;False;False;False;True;1;ALLGATHER
12;2;63767296;30;4.58;False;False;False;False;True;1;REDUCE-SCATTER
6;2;78224512;30;3.48;False;False;False;True;True;6;REDUCE-SCATTER
31;4;55883904;30;8.86;False;False;False;False;True;1;REDUCE-SCATTER
9;2;57371008;30;4.27;False;False;False;False;True;1;ALLGATHER
5;4;71911552;30;4.41;False;False;False;False;True;0;UNKNOWN
12;2;74644992;30;3.88;False;False;False;True;True;12;REDUCE-SCATTER
29;2;61067136;30;3.88;False;False;False;True;True;29;UNKNOWN
15;3;77178240;30;4.45;False;False;False;True;True;15;REDUCE-SCATTER
16;4;67990144;30;4.86;False;False;False;False;True;0;UNKNOWN
19;4;70335104;30;6.7;False;False;False;False;True;1;ALLGATHER
24;2;59865984;30;4.39;False;False;False;True;True;24;REDUCE-SCATTER
31;2;62562560;30;3.91;False;False;False;True;True;31;UNKNOWN
6;2;61791616;30;3.15;False;False;False;True;True;6;ALLGATHER
17;3;54538624;30;4.47;False;False;False;False;True;0;UNKNOWN
9;2;72249984;30;3.67;False;False;False;True;True;9;REDUCE-SCATTER
30;2;66907008;30;4.1;False;False;False;True;True;30;UNKNOWN
24;3;79630592;30;4.43;False;False;False;True;True;24;UNKNOWN
5;3;64465536;30;4.02;False;False;False;False;True;0;UNKNOWN
31;2;52776320;30;5.27;False;False;False;True;True;31;REDUCE-SCATTER
11;3;55271424;30;4.34;False;False;False;False;True;1;UNKNOWN
21;4;72879104;30;5.72;False;False;False;True;True;21;ALLGATHER
10;2;57298304;30;4.71;False;False;False;False;True;1;REDUCE-SCATTER
31;4;67915136;30;5.98;False;False;False;True;True;31;REDUCE-SCATTER
16;3;70920192;30;4.67;False;False;False;True;True;16;ALLGATHER
26;4;52503424;30;6.1;False;False;False;True;True;2;UNKNOWN
15;3;55217792;30;4.86;False;False;False;True;True;2;UNKNOWN
29;2;64252288;30;4.04;False;False;False;True;True;29;UNKNOWN
11;4;51226112;30;4.42;False;False;False;False;True;0;UNKNOWN
29;2;63805312;30;3.78;False;False;False;True;True;29;UNKNOWN
22;3;73477376;30;4.99;False;False;False;True;True;22;REDUCE-SCATTER
10;2;67753088;30;3.56;False;False;False;True;True;10;REDUCE-SCATTER
10;4;51241472;30;4.08;False;False;False;False;True;0;UNKNOWN
31;4;57788032;30;8.88;False;False;False;False;True;1;REDUCE-SCATTER
31;3;79030016;30;5.09;False;False;False;True;True;31;UNKNOWN
25;4;65116032;30;8.53;False;False;False;False;True;1;REDUCE-SCATTER
10;4;76450176;30;5.35;False;False;False;False;True;0;UNKNOWN
29;4;67284736;30;5.77;False;False;False;True;True;29;REDUCE-SCATTER
28;3;60821760;30;5.29;False;False;False;True;True;28;REDUCE-SCATTER
17;2;75622144;30;4.33;False;False;False;True;True;17;REDUCE-SCATTER
4;4;64488064;30;3.2;False;False;False;False;True;0;UNKNOWN
5;3;62358784;30;3.86;False;False;False;False;True;0;UNKNOWN
7;2;71383680;30;3.18;False;False;False;True;True;7;REDUCE-SCATTER
10;4;59437056;30;4.37;False;False;False;False;True;0;UNKNOWN
9;4;53341056;30;3.87;False;False;False;False;True;0;UNKNOWN
4;3;76275072;30;3.43;False;False;False;False;True;0;UNKNOWN
8;4;55663488;30;3.26;False;False;False;False;True;0;UNKNOWN
29;3;58015616;30;5.2;False;False;False;True;True;29;REDUCE-SCATTER
12;3;61721344;30;5.27;False;False;False;False;True;1;ALLGATHER
12;3;56112640;30;4.33;False;False;False;False;True;1;UNKNOWN
10;4;51802752;30;4.05;False;False;False;False;True;0;UNKNOWN
29;3;65318656;30;5.37;False;False;False;True;True;29;REDUCE-SCATTER
10;3;50047616;30;3.81;False;False;False;False;True;0;UNKNOWN
14;2;58305152;30;3.3;False;False;False;True;True;14;REDUCE-SCATTER
13;4;66195584;30;5.21;False;False;False;False;True;1;UNKNOWN
29;2;76743424;30;3.99;False;False;False;True;True;29;UNKNOWN
11;2;59522816;30;4.92;False;False;False;False;True;1;REDUCE-SCATTER
7;3;74341248;30;4.86;False;False;False;False;True;1;UNKNOWN
11;4;57143296;30;4.18;False;False;False;False;True;0;UNKNOWN
21;4;75998592;30;5.49;False;False;False;True;True;21;ALLGATHER
18;4;62668672;30;5.46;False;False;False;False;True;0;UNKNOWN
15;2;52667776;30;4.55;False;False;False;False;True;1;REDUCE-SCATTER
29;2;74342400;30;3.91;False;False;False;True;True;29;UNKNOWN
31;2;69977600;30;4.47;False;False;False;True;True;31;UNKNOWN
21;3;55793280;30;5.84;False;False;False;False;True;1;REDUCE-SCATTER
17;3;56576128;30;4.8;False;False;False;False;True;1;ALLGATHER
9;2;54343168;30;3.91;False;False;False;False;True;1;REDUCE-SCATTER
30;3;65163776;30;5.96;False;False;False;True;True;30;REDUCE-SCATTER
19;4;56023296;30;5.23;False;False;False;False;True;0;UNKNOWN
26;4;53254016;30;7.07;False;False;False;False;True;1;ALLGATHER
16;3;76477696;30;4.6;False;False;False;True;True;16;ALLGATHER
11;2;55683712;30;4.89;False;False;False;False;True;1;REDUCE-SCATTER
21;2;61160064;30;4.43;False;False;False;True;True;21;REDUCE-SCATTER
28;2;79406464;30;4.16;False;False;False;True;True;28;UNKNOWN
29;2;71552896;30;4.11;False;False;False;True;True;29;UNKNOWN
19;3;75413632;30;4.43;False;False;False;True;True;19;REDUCE-SCATTER
12;2;74190976;30;4.0;False;False;False;True;True;12;REDUCE-SCATTER
22;2;75470848;30;4.24;False;False;False;True;True;22;REDUCE-SCATTER
26;4;59985152;30;7.31;False;False;False;False;True;1;REDUCE-SCATTER
26;3;76007040;30;6.09;False;False;False;True;True;26;REDUCE-SCATTER
6;2;62312320;30;3.19;False;False;False;True;True;6;ALLGATHER
20;2;51634816;30;3.68;False;False;False;True;True;20;REDUCE-SCATTER
26;4;53215872;30;6.3;False;False;False;False;True;0;UNKNOWN
30;4;52447360;30;7.51;False;False;False;False;True;1;REDUCE-SCATTER
23;2;51135488;30;3.92;False;False;False;True;True;23;REDUCE-SCATTER
21;3;67571840;30;4.79;False;False;False;True;True;21;REDUCE-SCATTER
19;4;79381504;30;7.64;False;False;False;False;True;1;REDUCE-SCATTER
25;2;75626880;30;5.51;False;False;False;True;True;25;REDUCE-SCATTER
14;4;67791232;30;5.32;False;False;False;False;True;0;UNKNOWN
31;2;54057216;30;3.87;False;False;False;True;True;31;UNKNOWN
20;3;68687232;30;5.89;False;False;False;False;True;1;ALLGATHER
31;2;76553984;30;4.44;False;False;False;True;True;31;UNKNOWN
5;2;56633344;30;3.41;False;False;False;False;True;1;ALLGATHER
19;4;58294400;30;5.61;False;False;False;False;True;1;UNKNOWN
16;4;57762944;30;4.09;False;False;False;False;True;0;UNKNOWN
7;4;63694592;30;4.25;False;False;False;False;True;0;UNKNOWN
16;3;59596800;30;4.6;False;False;False;False;True;1;UNKNOWN
23;4;52841728;30;6.05;False;False;False;False;True;1;ALLGATHER
16;3;69702400;30;5.12;False;False;False;False;True;1;UNKNOWN
13;4;62662656;30;4.94;False;False;False;False;True;0;UNKNOWN
23;4;69527296;30;7.7;False;False;False;False;True;1;REDUCE-SCATTER
25;4;57889280;30;6.98;False;False;False;False;True;1;ALLGATHER
25;2;51027072;30;4.1;False;False;False;True;True;25;REDUCE-SCATTER
30;4;68514432;30;6.0;False;False;False;True;True;30;REDUCE-SCATTER
18;3;57196928;30;5.28;False;False;False;False;True;1;ALLGATHER
30;3;63608832;30;5.69;False;False;False;True;True;30;REDUCE-SCATTER
23;4;55767040;30;6.01;False;False;False;False;True;1;ALLGATHER
4;3;78281600;30;3.48;False;False;False;False;True;0;UNKNOWN
18;2;78442496;30;4.93;False;False;False;True;True;18;REDUCE-SCATTER
14;3;77691904;30;4.35;False;False;False;True;True;14;REDUCE-SCATTER
12;4;69939584;30;5.26;False;False;False;False;True;1;UNKNOWN
26;3;67691008;30;5.56;False;False;False;True;True;26;REDUCE-SCATTER
16;4;52178048;30;3.71;False;False;False;False;True;0;UNKNOWN
22;2;77691904;30;4.91;False;False;False;True;True;22;REDUCE-SCATTER
